caminho,tipo,feature,responsabilidade,camada,importadores_principais,dependencias_pesadas,leitura_dados,escrita_dados,cache_atual,invalidacao_atual,risco_seguranca,risco_desempenho,codigo_duplicado,teste_associado,acao_recomendada,prioridade,estado
src/app/api/clientes/[id]/export/route.ts,route-handler,root,,server,,,select/from,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/cron/cleanup-booking-drafts/route.ts,route-handler,cron,,server,,,rpc,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/financeiro/export-excel/route.ts,route-handler,root,,server,,,select/from,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/financeiro/export-pdf/route.ts,route-handler,root,,server,,,select/from,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/financeiro/export/route.ts,route-handler,root,,server,,,select/from,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/health/route.ts,route-handler,root,,server,,,,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/public/business/[slug]/bookings/route.ts,route-handler,public-api,,server,,,rpc,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/BookingConfirmation.tsx,component,public-booking,,client,src/app/b/[slug]/resumo/ResumoClient.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/PreRegistrationStep.tsx,component,public-booking,,client,src/app/b/[slug]/dados/DadosClient.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/PublicAboutSection.tsx,component,public-booking,,client,src/app/b/[slug]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/PublicFeaturedServices.tsx,component,public-booking,,shared,src/app/b/[slug]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/PublicHoursRow.tsx,component,public-booking,,client,src/app/b/[slug]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/PublicShareButton.tsx,component,public-booking,,client,src/app/b/[slug]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/SlotPicker.tsx,component,public-booking,,client,src/app/b/[slug]/horario/HorarioClient.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/TurnstileWidget.tsx,component,public-booking,,client,src/app/b/[slug]/resumo/ResumoClient.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/availability-actions.ts,module-ts,public-booking,,server,src/app/b/[slug]/SlotPicker.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/dados/DadosClient.tsx,component,public-booking,,client,src/app/b/[slug]/dados/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/dados/page.tsx,page,public-booking,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/booking-selection.ts,module-ts,public-booking,,shared,src/app/b/[slug]/horario/HorarioClient.tsx | src/app/b/[slug]/resumo/ResumoClient.tsx | src/app/b/[slug]/servicos/ServicosClient.tsx | src/features/appointments/wizard/AppointmentSummaryPanel.tsx | src/features/appointments/wizard/ConfirmStep.tsx,,,,,,sem sinal automatico,,,tests/unit/booking-selection.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/confirmation-state.ts,module-ts,public-booking,,shared,src/app/b/[slug]/resumo/ResumoClient.tsx,,,,,,sem sinal automatico,,,tests/unit/confirmation-state.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/draft.ts,module-ts,public-booking,,shared,src/app/b/[slug]/draft-actions.ts | src/app/b/[slug]/useBookingSession.ts,,,,,,sem sinal automatico,,,tests/e2e/public-booking-draft.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/hours-summary.ts,module-ts,public-booking,,shared,src/app/b/[slug]/PublicHoursRow.tsx | src/app/b/[slug]/page.tsx,,select/from,,,,sem sinal automatico,,,tests/unit/hours-summary.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/idempotency-key.ts,module-ts,public-booking,,shared,src/app/b/[slug]/resumo/ResumoClient.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/month-calendar.ts,module-ts,public-booking,,shared,src/app/b/[slug]/SlotPicker.tsx | src/features/appointments/AvailabilityCalendar.tsx,,,,,,sem sinal automatico,,,tests/unit/month-calendar.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/public-booking-result.ts,module-ts,public-booking,,shared,src/app/api/public/business/[slug]/bookings/route.ts | src/app/b/[slug]/domain/confirmation-state.ts | src/app/b/[slug]/domain/submit-public-booking.ts,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/slot-formatting.ts,module-ts,public-booking,,shared,src/app/b/[slug]/SlotPicker.tsx | src/features/appointments/AvailabilityCalendar.tsx,,select/from,,,,sem sinal automatico,,,tests/unit/slot-formatting.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/domain/submit-public-booking.ts,module-ts,public-booking,,shared,src/app/b/[slug]/resumo/ResumoClient.tsx,,,,no-store,,sem sinal automatico,,,tests/unit/submit-public-booking.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/draft-actions.ts,module-ts,public-booking,,server,src/app/b/[slug]/useBookingSession.ts,,select/from,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/error.tsx,component,public-booking,,client,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/horario/HorarioClient.tsx,component,public-booking,,client,src/app/b/[slug]/horario/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/horario/page.tsx,page,public-booking,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/not-found.tsx,component,public-booking,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/page.tsx,page,public-booking,,server,,,rpc,,react-cache,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/resumo/ResumoClient.tsx,component,public-booking,,client,src/app/b/[slug]/resumo/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/resumo/page.tsx,page,public-booking,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/servicos/ServicosClient.tsx,component,public-booking,,client,src/app/b/[slug]/servicos/page.tsx,,select/from,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/servicos/page.tsx,page,public-booking,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/b/[slug]/useBookingSession.ts,module-ts,public-booking,,client,src/app/b/[slug]/dados/DadosClient.tsx | src/app/b/[slug]/horario/HorarioClient.tsx | src/app/b/[slug]/resumo/ResumoClient.tsx | src/app/b/[slug]/servicos/ServicosClient.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/globals.css,style,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/layout.tsx,layout,root,,server,,,,,,,sem sinal automatico,,,tests/e2e/catalog-mobile-layout.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/manifest.ts,module-ts,root,,shared,,,,,,,sem sinal automatico,,,tests/unit/manifest.test.ts,,,revisto (automatizado por padrao de conteudo)
src/app/marcacao/LookupForm.tsx,component,public-lookup,,client,src/app/marcacao/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/marcacao/[token]/page.tsx,page,public-lookup,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/marcacao/lookup-actions.ts,module-ts,public-lookup,,server,src/app/marcacao/LookupForm.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/marcacao/page.tsx,page,public-lookup,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/page.tsx,page,root,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/components/ui/BottomSheet.tsx,component,root,,client,src/app/b/[slug]/PublicHoursRow.tsx | src/features/catalog/CategoryManagementSheet.tsx | src/features/catalog/PackageEditorSheet.tsx | src/features/catalog/ServiceEditorSheet.tsx | src/features/finance/FinancePeriodSelector.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/components/ui/Button.tsx,component,root,,shared,src/app/b/[slug]/PreRegistrationStep.tsx | src/app/b/[slug]/horario/HorarioClient.tsx | src/app/b/[slug]/resumo/ResumoClient.tsx | src/app/b/[slug]/servicos/ServicosClient.tsx | src/app/marcacao/LookupForm.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/components/ui/Card.tsx,component,root,,shared,src/app/(dashboard)/dashboard/agenda/page.tsx | src/app/(dashboard)/dashboard/clientes/[id]/page.tsx | src/app/(dashboard)/dashboard/definicoes/agenda/page.tsx | src/app/(dashboard)/dashboard/definicoes/aparencia/page.tsx | src/app/(dashboard)/dashboard/definicoes/dados/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/components/ui/HelpTip.tsx,component,root,,client,src/features/settings/BookingRulesForm.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AgendaCompletionContext.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/page.tsx | src/features/appointments/AppointmentCard.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AgendaDatePicker.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AgendaFab.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AppointmentCard.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AppointmentCompletionPanel.tsx,component,appointments,,client,src/features/appointments/CompletionSheet.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AppointmentDangerZone.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/[id]/page.tsx,,,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AppointmentPrimaryActions.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/[id]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AppointmentSecondaryActions.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/[id]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/AvailabilityCalendar.tsx,component,appointments,,client,src/features/appointments/AppointmentPrimaryActions.tsx | src/features/appointments/wizard/ScheduleStep.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/CompletionSheet.tsx,component,appointments,,client,src/features/appointments/AgendaCompletionContext.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/completion-actions.ts,module-ts,appointments,,server,src/features/appointments/AppointmentCompletionPanel.tsx,,rpc,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/detail-actions.ts,module-ts,appointments,,server,src/features/appointments/AppointmentDangerZone.tsx | src/features/appointments/AppointmentPrimaryActions.tsx | src/features/appointments/AppointmentSecondaryActions.tsx,,rpc,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/appointment-card.ts,module-ts,appointments,,shared,src/app/(dashboard)/dashboard/agenda/[id]/page.tsx | src/app/(dashboard)/dashboard/agenda/page.tsx | src/app/(dashboard)/dashboard/financeiro/pendentes/page.tsx | src/app/(dashboard)/dashboard/lembretes/page.tsx | src/app/(dashboard)/dashboard/page.tsx,,,,,,sem sinal automatico,,,tests/e2e/appointment-card.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/appointment-detail.ts,module-ts,appointments,,shared,src/app/(dashboard)/dashboard/agenda/[id]/page.tsx,,,,,,sem sinal automatico,,,tests/e2e/appointment-detail.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/appointment-wizard.ts,module-ts,appointments,,shared,src/features/appointments/wizard/AppointmentSummaryPanel.tsx | src/features/appointments/wizard/ConfirmStep.tsx | src/features/appointments/wizard/NewAppointmentWizard.tsx | src/features/appointments/wizard/RecurrenceReview.tsx | src/features/appointments/wizard/ServicesStep.tsx,,,,,,sem sinal automatico,,,tests/unit/appointment-wizard.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/availability-blocks.ts,module-ts,appointments,,shared,src/features/settings/availability-blocks-actions.ts,,,,,,sem sinal automatico,,,tests/integration/availability-blocks-impact.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/availability.ts,module-ts,appointments,,shared,src/features/appointments/domain/daily-schedule.ts | src/lib/availability-lookup.ts,,,,,,sem sinal automatico,,,tests/integration/availability-blocks-impact.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/calendar-navigation.ts,module-ts,appointments,,shared,src/app/(dashboard)/dashboard/agenda/page.tsx | src/app/(dashboard)/dashboard/financeiro/page.tsx | src/app/b/[slug]/domain/hours-summary.ts | src/features/appointments/AgendaDatePicker.tsx | src/features/finance/domain/period.ts,,select/from,,,,sem sinal automatico,,,tests/unit/calendar-navigation.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/completion.ts,module-ts,appointments,,shared,src/features/appointments/AppointmentCompletionPanel.tsx | src/features/appointments/completion-actions.ts,,,,,,sem sinal automatico,,,tests/e2e/appointment-completion-discount.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/daily-schedule.ts,module-ts,appointments,,shared,src/features/appointments/domain/availability.ts | src/lib/availability-lookup.ts,,,,,,sem sinal automatico,,,tests/unit/daily-schedule.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/discount.ts,module-ts,appointments,,shared,src/features/appointments/AppointmentCompletionPanel.tsx,,,,,,sem sinal automatico,,,tests/e2e/appointment-completion-discount.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/extras.ts,module-ts,appointments,,shared,src/features/appointments/AgendaCompletionContext.tsx | src/features/appointments/AppointmentCompletionPanel.tsx | src/features/appointments/CompletionSheet.tsx,,,,,,sem sinal automatico,,,tests/e2e/appointment-completion-extras.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/free-slots-summary.ts,module-ts,appointments,,shared,src/app/(dashboard)/dashboard/agenda/page.tsx,,select/from,,,,sem sinal automatico,,,tests/unit/free-slots-summary.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/recurrence-conflicts.ts,module-ts,appointments,,shared,src/features/appointments/recurrence-conflicts-actions.ts,,,,,,sem sinal automatico,,,tests/unit/recurrence-conflicts.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/domain/recurrence.ts,module-ts,appointments,,shared,src/features/appointments/wizard/ConfirmStep.tsx | src/features/appointments/wizard/NewAppointmentWizard.tsx | src/features/appointments/wizard/RecurrenceReview.tsx | src/features/appointments/wizard/ScheduleStep.tsx,,,,,,sem sinal automatico,,,tests/unit/recurrence-conflicts.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/manual-availability-actions.ts,module-ts,appointments,,server,src/features/appointments/AppointmentPrimaryActions.tsx | src/features/appointments/wizard/NewAppointmentWizard.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/manual-booking-actions.ts,module-ts,appointments,,server,src/features/appointments/wizard/NewAppointmentWizard.tsx,,rpc,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/recurrence-conflicts-actions.ts,module-ts,appointments,,server,src/features/appointments/wizard/NewAppointmentWizard.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/recurring-series-actions.ts,module-ts,appointments,,server,src/features/appointments/wizard/NewAppointmentWizard.tsx,,rpc,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/AppointmentSummaryPanel.tsx,component,appointments,,client,src/features/appointments/wizard/NewAppointmentWizard.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/ClientStep.tsx,component,appointments,,client,src/features/appointments/wizard/AppointmentSummaryPanel.tsx | src/features/appointments/wizard/ConfirmStep.tsx | src/features/appointments/wizard/NewAppointmentWizard.tsx | src/features/appointments/wizard/RecurrenceReview.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/ConfirmStep.tsx,component,appointments,,client,src/features/appointments/wizard/NewAppointmentWizard.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/NewAppointmentWizard.tsx,component,appointments,,client,src/app/(dashboard)/dashboard/agenda/nova/page.tsx,,select/from,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/RecurrenceReview.tsx,component,appointments,,client,src/features/appointments/wizard/NewAppointmentWizard.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/ScheduleStep.tsx,component,appointments,,client,src/features/appointments/wizard/NewAppointmentWizard.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/ServicesStep.tsx,component,appointments,,client,src/features/appointments/wizard/NewAppointmentWizard.tsx,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/SuccessScreen.tsx,component,appointments,,client,src/features/appointments/wizard/NewAppointmentWizard.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/appointments/wizard/WizardProgress.tsx,component,appointments,,shared,src/features/appointments/wizard/NewAppointmentWizard.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/auth/AuthShell.tsx,component,auth,,shared,src/app/(auth)/definir-password/page.tsx | src/app/(auth)/login/page.tsx | src/app/(auth)/recuperar-password/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/auth/DefinirPasswordForm.tsx,component,auth,,client,src/app/(auth)/definir-password/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/auth/LoginForm.tsx,component,auth,,client,src/app/(auth)/login/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/auth/PasswordField.tsx,component,auth,,client,src/features/auth/DefinirPasswordForm.tsx | src/features/auth/LoginForm.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/auth/actions.ts,server-actions,auth,,server,src/app/(auth)/recuperar-password/page.tsx | src/features/auth/DefinirPasswordForm.tsx | src/features/auth/LoginForm.tsx | src/features/shell/LogoutSection.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/auth/domain/password-requirements.ts,module-ts,auth,,shared,src/features/auth/DefinirPasswordForm.tsx,,,,,,sem sinal automatico,,,tests/unit/password-requirements.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/CatalogSheetContext.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx | src/features/catalog/CategoryChips.tsx | src/features/catalog/ManageCategoriesButton.tsx | src/features/catalog/NewServiceHeaderButton.tsx | src/features/catalog/PackageCard.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/CategoryChips.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx | src/features/catalog/OnlyActiveFilterButton.tsx | src/features/catalog/ServicesFab.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/CategoryManagementSheet.tsx,component,catalog,,client,src/features/catalog/CatalogSheetContext.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/ManageCategoriesButton.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/NewServiceHeaderButton.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/OnlyActiveFilterButton.tsx,component,catalog,,shared,src/app/(dashboard)/dashboard/servicos/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/PackageCard.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/PackageCart.tsx,component,catalog,,client,src/features/catalog/PackageEditorSheet.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/PackageEditorSheet.tsx,component,catalog,,client,src/features/catalog/CatalogSheetContext.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/ServiceCard.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/ServiceEditorSheet.tsx,component,catalog,,client,src/features/catalog/CatalogSheetContext.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/ServicePhotoUpload.tsx,component,catalog,,client,src/features/catalog/ServiceEditorSheet.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/ServicesFab.tsx,component,catalog,,client,src/app/(dashboard)/dashboard/servicos/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/actions.ts,server-actions,catalog,,server,src/features/catalog/CategoryManagementSheet.tsx | src/features/catalog/PackageCard.tsx | src/features/catalog/PackageEditorSheet.tsx | src/features/catalog/ServiceCard.tsx | src/features/catalog/ServiceEditorSheet.tsx,,select/from,mutacao-supabase,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/domain/category.ts,module-ts,catalog,,shared,src/app/(dashboard)/dashboard/servicos/page.tsx | src/features/catalog/CatalogSheetContext.tsx | src/features/catalog/CategoryChips.tsx | src/features/catalog/CategoryManagementSheet.tsx | src/features/catalog/ServiceCard.tsx,,,,,,sem sinal automatico,,,tests/unit/category.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/domain/package-cart.ts,module-ts,catalog,,shared,src/features/catalog/PackageCart.tsx,,,,,,sem sinal automatico,,,tests/unit/package-cart.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/domain/package.ts,module-ts,catalog,,shared,src/app/(dashboard)/dashboard/servicos/page.tsx | src/app/b/[slug]/servicos/ServicosClient.tsx | src/features/catalog/CatalogSheetContext.tsx | src/features/catalog/PackageCard.tsx | src/features/catalog/PackageEditorSheet.tsx,,,,,,sem sinal automatico,,,tests/e2e/catalog-packages.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/domain/photos.ts,module-ts,catalog,,shared,src/features/catalog/photo-actions.ts | src/features/settings/business-photo-actions.ts,,,,,,sem sinal automatico,,,tests/integration/client-photos-storage-rls.test.ts,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/domain/service.ts,module-ts,catalog,,shared,src/app/(dashboard)/dashboard/servicos/page.tsx | src/features/catalog/CatalogSheetContext.tsx | src/features/catalog/PackageCard.tsx | src/features/catalog/PackageCart.tsx | src/features/catalog/PackageEditorSheet.tsx,,,,,,sem sinal automatico,,,tests/e2e/catalog-services.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/features/catalog/photo-actions.ts,module-ts,catalog,,server,src/features/catalog/ServicePhotoUpload.tsx,,select/from,mutacao-supabase,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/ClientCard.tsx,component,clients,,shared,src/app/(dashboard)/dashboard/clientes/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/ClientDeleteSection.tsx,component,clients,,client,src/app/(dashboard)/dashboard/clientes/[id]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/ClientPhotosForm.tsx,component,clients,,client,src/app/(dashboard)/dashboard/clientes/[id]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/ClientPreferencesForm.tsx,component,clients,,client,src/app/(dashboard)/dashboard/clientes/[id]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/ClientPrivateNotesForm.tsx,component,clients,,client,src/app/(dashboard)/dashboard/clientes/[id]/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/ClientsFab.tsx,component,clients,,client,src/app/(dashboard)/dashboard/clientes/page.tsx,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/actions.ts,server-actions,clients,,server,src/features/clients/ClientPreferencesForm.tsx | src/features/clients/ClientPrivateNotesForm.tsx,,rpc,mutacao-supabase,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/features/clients/delete-actions.ts,module-ts,clients,,server,src/features/clients/ClientDeleteSection.tsx,,rpc,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
